CaptureID,Identity,Date,Time,Processors,Capture_method,Location,Lat,Long,Weight,Condition,Harnessing,PTTID,Wing,Tail,Bill,Head-bill,Tarsus,Moult_left,Moult_right,DNA_taken,Process_time,Notes
181,Nutmeg,7/10/2022,13:34,"SR, CH",Hand,MR Aviary,,,700,Good,N,,292,174,,,139,,,Y,29,Original bands Green-Pink; feathers worn
182,Cinnamon,7/10/2022,13:34,"SR, CH",Hand,MR Aviary,,,675,Good,N,,270,153,,,145,,,Y,31,Original bands White11-Orange; feathers worn
183,Jo,7/10/2022,13:34,"SR, CH",Hand,MR Aviary,,,820,Good,N,,300,191,,,143,,,Y,26,Feathers worn
184,Fern,7/10/2022,14:08,"SR, CH",Hand,MR Aviary,,,560,Fair,N,,259,164,,,128,,,Y,8,Original bands Orange-white; feathers worn
185,Clover,7/10/2022,14:19,"SR, CH",Hand,MR Aviary,,,700,Excellent,N,,292,184,,,139,,,Y,5,Original bands black-blue; feathers worn
186,Aurora,7/10/2022,14:27,"SR, CH",Hand,MR Aviary,,,735,Excellent,N,,294,183,,,152,,,Y,5,"Original bands Yellow-white12, feathers less worn"
187,Rove,7/10/2022,14:37,"SR, CH",Hand,MR Aviary,,,630,Good,N,,261,182,,,128,,,Y,5,Original bands Brown27-JU
188,Prem,7/10/2022,14:43,"SR, CH",Hand,MR Aviary,,,680,Excellent,N,,259,174,,,131,,,Y,5,Original bands purple 8413; wing feathers very worn
189,Kit,7/10/2022,14:50,"SR, CH",Hand,MR Aviary,,,625,Fair,N,,243,154,,,138,,,Y,11,"Original bands yellow-blue; missing feathers on rump, feathers worn"
190,Star,7/10/2022,15:07,"SR, CH",Hand,MR Aviary,,,730,Excellent,N,,275,183,,,145,,,Y,13,Original bands black-white; superficial elbow graze; graze on right leg while fitting bands
191,Koda,7/10/2022,15:20,"SR, CH",Hand,MR Aviary,,,710,Good,N,,256,195,,,149,,,Y,12,Original bands nil; very worn feathers
192,Rocky,7/10/2022,15:34,"SR, CH",Hand,MR Aviary,,,660,Good,N,,294,172,,,136,,,Y,10,Original bands white14 black; mildly worn feathers
193,Brook,7/10/2022,17:30,"SR, CH",Hand,MR Aviary,,,615,Good,N,,294,145,,,131,,,Y,5,Original bands white19
194,Rowan,7/10/2022,17:30,"SR, CH",Hand,MR Aviary,,,745,Good,N,,228,175,,,143,,,Y,5,Original bands blue left tarsus; wrecked primaries
195,Wobbles,7/10/2022,17:15,"SR, CH",Hand,MR Aviary,,,770,Good,N,,290,190,,,140,,,Y,8,Original bands pink left
196,Quack,7/10/2022,17:15,"SR, CH",Hand,MR Aviary,,,610,Fair,N,,290,173,,,130,,,Y,9,Original bands 377VS
197,Iona,7/10/2022,16:30,"SR, CH",Hand,MR Aviary,,,670,Good,N,,300,181,,,157,,,Y,13,Original bands green-white17; right outer toe has nectrotic tissue
198,Sage,7/10/2022,16:30,"SR, CH",Hand,MR Aviary,,,590,Good,N,,251,142,,,144,,,Y,13,Orignal bands white20-yellow; grazed left elbow
199,Valentine,7/10/2022,16:50,"SR, CH",Hand,MR Aviary,,,670,Good,N,,281,170,,,138,,,Y,9,Original bands orange-white10; cuts on elbows from capture
200,Briar,7/10/2022,16:50,"SR, CH",Hand,MR Aviary,,,780,Excellent,N,,282,182,,,151,,,Y,11,Original bands green-white2; grazed left elbow
201,Marmalade,7/10/2022,17:01,"SR, CH",Hand,MR Aviary,,,710,Excellent,N,,285,162,,,145,,,Y,8,Original bands pink-white3; elbow grazes
202,Zoe,10/10/2022,12:39,"SR, CH",Hand,MR Aviary,,,835,Excellent,N,,300,202,,,144,,,Y,5,Original band 7HSU; healed tissue central toe right foot; primaries worn
203,Robin,10/10/2022,12:47,"SR, CH",Hand,MR Aviary,,,700,Excellent,N,,279,171,,,141,,,Y,5,Original bands nil; offspring of I6 yellow and J3 green; worn primaries
204,Sutton,10/10/2022,12:56,"SR, CH",Hand,MR Aviary,,,690,Good,N,,281,193,,,134,,,Y,6,Kept original metal band 334VS because of bulges/growths on both legs did not fit a new ABBBS band.
205,Daisy,10/10/2022,13:10,"SR, CH",Hand,MR Aviary,,,805,Excellent,N,,286,194,,,148,,,Y,6,Original bands nil
206,Sparkles,10/10/2022,13:10,"SR, CH",Hand,MR Aviary,,,720,Good,N,,295,178,,,144,,,Y,11,Original bands nil from transfer (lost in aviary) but figured from age records and leg condition that this bird is Sparkles- originally ID'd as B80135
207,Aurora,25/10/2022,15:57,SR,Hand,MR Aviary,,,780,Excellent,Y,216467,,,,,,,,N,14,Primaries trimmed for release. Very docile except clacking when first handled.
208,Robin,25/10/2022,16:18,SR,Hand,MR Aviary,,,730,Excellent,Y,216470,,,,,,,,N,17,"Primaries trimmed for release. Very docile, minimum fight then settled in bag."
209,Daisy,25/10/2022,16:41,SR,Hand,MR Aviary,,,735,Excellent,Y,216469,,,,,,,,N,12,Primaries trimmed for release. Pacing in crate whole time processing others. Fighting and biting when handled and beak clacking. Kept standing and trying to flag. Stronger wings than other two.
210,Briar,28/10/2022,17:22,SR,Hand,MR Aviary,,,825,Excellent,Y,216471,,,,,,,,N,17,Primaries trimmed for release. Tarsus prox 7.8mm. Tarsus distal 10.9mm (note taken with unreliable analogue callipers). ABBBS band removed and not replaced
211,Star,28/10/2022,17:51,SR,Hand,MR Aviary,,,730,Good,Y,216476,,,,,,,,N,15,Primaries trimmed for release. Tarsus prox 7.7mm. Tarsus distal 10.1mm (note taken with unreliable analogue callipers). ABBBS band removed and not replaced. Bruising under flag.
212,Nutmeg,28/10/2022,18:10,SR,Hand,MR Aviary,,,735,Good,Y,216472,,,,,,,,N,22,"Primaries trimmed for release. Tarsus prox 8.2mm. Tarsus distal 10.4mm (note taken with unreliable analogue callipers). ABBBS band removed and not replaced. Fitted with a 23x28cm harness, not much slack."
213,Nutmeg,11/12/2022,11:43,SR,Hand,MR Zone 2,-37.89327,144.444502,685,Good,N,,,,,,,,,N,23,"Post-release health check. Moulting. Tarsus measurements taken. Was roosting with Briar and Robin, who flushed further and were not caught. Nutmeg flushed 5m and postured."
