Release year,Location,Identity,ABBBS,Band,Start date,Fate,Fate additional,End date,Persist,to 90,to 360
2022,MTR,Aurora,111-11202,Yellow I8,25/10/2022,Unknown,GPS missing,29/08/2023,308,TRUE,FALSE
2022,MTR,Robin,111-11203,Blue K4,25/10/2022,Unknown,"Mortality signal, carcass not found",5/03/2024,497,TRUE,TRUE
2022,MTR,Nutmeg,111-11201,Blue K5,29/10/2022,Predated,BOP little river,8/01/2024,436,TRUE,TRUE
2022,MTR,Star,200-18823,Yellow I7,29/10/2022,Disease,Gastroenteritis,7/11/2022,9,FALSE,FALSE
2022,MTR,Briar,200-18829,Blue K7,29/10/2022,Predated,Fox little river,11/03/2023,133,TRUE,FALSE
2022,MTR,Koda,200-18824,Blue K9,14/12/2022,Alive,,11/01/2024,393,TRUE,TRUE
2022,MTR,Iona,200-18826,Yellow I0,14/12/2022,Alive,,11/01/2024,393,TRUE,TRUE
2022,MTR,Sage,200-18827,Green J8,14/12/2022,Predated,Fox little river,27/06/2023,195,TRUE,FALSE
2022,MTR,Prem,100-97873,Blue K2,12/01/2023,"Recaptured, vet treatment",Fox little river,14/03/2023,61,FALSE,FALSE
2022,MTR,Rove,200-18820,Yellow I1,12/01/2023,Predated,Fox little river,16/03/2023,63,FALSE,FALSE
2022,MTR,Valentine,200-18828,Green J4,13/01/2023,Alive,,11/01/2024,363,TRUE,TRUE
2022,MTR,Marmalade,200-18830,Yellow I3,13/01/2023,Alive,,11/01/2024,363,TRUE,TRUE
2022,MTR,Clover,100-97872,Blue K8,16/01/2023,Predated,Fox little river,29/04/2023,103,TRUE,FALSE
2022,MTR,Wobbles,200-18831,Yellow I2,16/01/2023,Predated,BOP zone 1,24/01/2023,8,FALSE,FALSE
2022,MTR,Brook,200-18834,Green J9,16/01/2023,Predated,BOP zone 1,3/06/2023,138,TRUE,FALSE
2022,MTR,Daisy,111-11213,Green J5,25/10/2022,"Recaptured, return captivity",,27/10/2022,2,NA,NA
