"identity","persist","to_90","to_363","latency","score","alert","sex","weight"
"Aurora",308,1,0,1530,2,0.126705653021442,"M",780
"Briar",133,1,0,1547,1,0.110486891385768,"M",825
"Brook",138,1,0,1583,1,0.0920245398773006,"F",615
"Clover",103,1,0,1637.5,1,0.265151515151515,"F",710
"Daisy",2,1,1,NA,3,NA,"F",735
"Iona",363,1,1,4635,1,0.309677419354839,"M",685
"Koda",363,1,1,663,3,0.0539629005059022,"M",750
"Marmalade",363,1,1,1572,3,0.164788732394366,"M",735
"Nutmeg",363,1,1,161,1,0.219284603421462,"F",735
"Prem",61,0,0,6906.5,1,0.193037974683544,"F",600
"Robin",363,1,1,95,1,0.042603550295858,"F",730
"Rove",63,0,0,5477.5,1,0.271820448877805,"F",640
"Sage",195,1,0,1738,2,0.120060790273556,"F",675
"Star",9,0,0,NA,1,NA,"M",730
"Valentine",363,1,1,1537,1,0.101246105919003,"M",635
"Wobbles",8,0,0,673,2,0.0523049645390071,"F",705
