"dist","bird","date","release"
11.2432984045399,"Robin",2022-10-29,"October"
13.7669770215913,"Robin",2022-10-30,"October"
13.2488350369752,"Robin",2022-10-31,"October"
15.4141500341975,"Robin",2022-11-01,"October"
17.1789597071708,"Robin",2022-11-02,"October"
15.8001447171598,"Robin",2022-11-03,"October"
14.42672777628,"Robin",2022-11-04,"October"
17.0735895019889,"Robin",2022-11-05,"October"
15.0248908101751,"Robin",2022-11-06,"October"
17.2535261466216,"Robin",2022-11-07,"October"
23.9924192348846,"Robin",2022-11-08,"October"
15.4286653701893,"Robin",2022-11-09,"October"
10.444814720268,"Robin",2022-11-10,"October"
11.1222901865283,"Robin",2022-11-11,"October"
10.20386826718,"Robin",2022-11-12,"October"
14.6585541473548,"Robin",2022-11-13,"October"
14.8256392265473,"Robin",2022-11-14,"October"
14.8696929125931,"Robin",2022-11-15,"October"
18.9895006074816,"Robin",2022-11-16,"October"
14.7997969179678,"Robin",2022-11-17,"October"
19.7376424405208,"Robin",2022-11-18,"October"
13.0017867231649,"Robin",2022-11-19,"October"
10.5495411117806,"Robin",2022-11-20,"October"
14.6500307242208,"Robin",2022-11-21,"October"
10.5917415890461,"Robin",2022-11-22,"October"
8.92756504326055,"Robin",2022-11-23,"October"
12.0034581398159,"Robin",2022-11-24,"October"
12.1282754848751,"Robin",2022-11-25,"October"
16.4663930329591,"Robin",2022-11-26,"October"
13.0780065389251,"Robin",2022-11-27,"October"
14.6182946341273,"Robin",2022-11-28,"October"
17.2287940168176,"Robin",2022-11-29,"October"
13.6727956489845,"Robin",2022-11-30,"October"
10.5778497518105,"Robin",2022-12-01,"October"
12.2363741513236,"Robin",2022-12-02,"October"
17.5759209871324,"Robin",2022-12-03,"October"
10.4133978113172,"Robin",2022-12-04,"October"
15.9843452731376,"Robin",2022-12-05,"October"
12.5362132704123,"Robin",2022-12-06,"October"
12.9588210156458,"Robin",2022-12-07,"October"
12.0954085864074,"Robin",2022-12-08,"October"
17.2408213146297,"Robin",2022-12-09,"October"
20.1081909635951,"Robin",2022-12-10,"October"
10.9329533239667,"Robin",2022-12-11,"October"
11.7870205986814,"Robin",2022-12-12,"October"
15.5723700985265,"Robin",2022-12-13,"October"
19.1100105878129,"Robin",2022-12-14,"October"
21.1915242597452,"Robin",2022-12-15,"October"
18.4599814969135,"Robin",2022-12-16,"October"
21.4033836025786,"Robin",2022-12-17,"October"
18.2696923996017,"Robin",2022-12-18,"October"
20.483210788937,"Robin",2022-12-19,"October"
18.1918029680933,"Robin",2022-12-20,"October"
13.3806018555258,"Robin",2022-12-21,"October"
12.1156050833664,"Robin",2022-12-22,"October"
12.2622813212364,"Robin",2022-12-23,"October"
11.7460093916411,"Robin",2022-12-24,"October"
10.691980751014,"Robin",2022-12-25,"October"
10.6780245448569,"Robin",2022-12-26,"October"
9.50139979243124,"Robin",2022-12-27,"October"
7.48312796961501,"Robin",2022-12-28,"October"
10.2950328503037,"Robin",2022-12-29,"October"
9.02979164651281,"Robin",2022-12-30,"October"
9.15924242632137,"Robin",2022-12-31,"October"
11.4602273711265,"Robin",2023-01-01,"October"
11.5326279097393,"Robin",2023-01-02,"October"
12.5274152627751,"Robin",2023-01-03,"October"
11.8881346778162,"Robin",2023-01-04,"October"
14.6025052538531,"Robin",2023-01-05,"October"
14.8433311709617,"Robin",2023-01-06,"October"
18.3517414845262,"Robin",2023-01-07,"October"
10.3543956865721,"Robin",2023-01-08,"October"
10.4717536476024,"Robin",2023-01-09,"October"
13.6445546046523,"Robin",2023-01-10,"October"
11.7250512758489,"Robin",2023-01-11,"October"
10.4538601351255,"Robin",2023-01-12,"October"
12.5265662419587,"Robin",2023-01-13,"October"
10.6889721810914,"Robin",2023-01-14,"October"
11.9857053268599,"Robin",2023-01-15,"October"
11.7803254702131,"Robin",2023-01-16,"October"
7.09130579181644,"Robin",2023-01-17,"October"
8.58754479956058,"Robin",2023-01-18,"October"
10.057043886174,"Robin",2023-01-19,"October"
13.4712333630143,"Robin",2023-01-20,"October"
15.0044098830857,"Robin",2023-01-21,"October"
12.1325462315751,"Robin",2023-01-22,"October"
9.37931503765971,"Robin",2023-01-23,"October"
12.8699846280172,"Robin",2023-01-24,"October"
11.6553323143297,"Robin",2023-01-25,"October"
18.4313651024833,"Robin",2023-01-26,"October"
12.0119626662027,"Robin",2023-01-27,"October"
9.2558405566867,"Robin",2023-01-28,"October"
7.76404132022121,"Robin",2023-01-29,"October"
11.0339792009194,"Robin",2023-01-30,"October"
14.9327224368933,"Robin",2023-01-31,"October"
8.86759990021554,"Robin",2023-02-01,"October"
11.7959002331172,"Robin",2023-02-02,"October"
13.5437468497442,"Robin",2023-02-03,"October"
14.7848298407603,"Robin",2023-02-04,"October"
9.08573101468539,"Robin",2023-02-05,"October"
11.068743698271,"Robin",2023-02-06,"October"
15.9257106616987,"Robin",2023-02-07,"October"
13.4734196105984,"Robin",2023-02-08,"October"
13.7301836966949,"Robin",2023-02-09,"October"
10.6730821202683,"Robin",2023-02-10,"October"
8.83862092974173,"Robin",2023-02-11,"October"
14.3113766982099,"Robin",2023-02-12,"October"
9.62148340505485,"Robin",2023-02-13,"October"
12.85523712225,"Robin",2023-02-14,"October"
9.77436602588381,"Robin",2023-02-15,"October"
7.3594539000834,"Robin",2023-02-16,"October"
9.23360982781887,"Robin",2023-02-17,"October"
7.53339990808828,"Robin",2023-02-18,"October"
10.4621113573399,"Robin",2023-02-19,"October"
7.15363383675243,"Robin",2023-02-20,"October"
9.84607200600396,"Robin",2023-02-21,"October"
10.7694947905157,"Robin",2023-02-22,"October"
9.02087970605461,"Robin",2023-02-23,"October"
7.4333478934459,"Robin",2023-02-24,"October"
8.16116785087968,"Robin",2023-02-25,"October"
12.9540020561443,"Robin",2023-02-26,"October"
14.0528578722118,"Robin",2023-02-27,"October"
7.75797816467641,"Robin",2023-02-28,"October"
11.6659705993515,"Robin",2023-03-01,"October"
10.2464727903181,"Robin",2023-03-02,"October"
18.3890786664684,"Robin",2023-03-03,"October"
14.842931995399,"Robin",2023-03-04,"October"
9.2051994200124,"Robin",2023-03-05,"October"
15.8084879920209,"Robin",2023-03-06,"October"
12.7849489077092,"Robin",2023-03-07,"October"
12.511867268437,"Robin",2023-03-08,"October"
10.3965776261513,"Robin",2023-03-09,"October"
9.72105636981838,"Robin",2023-03-10,"October"
12.6922830053643,"Robin",2023-03-11,"October"
0.915940090979786,"Robin",2022-10-25,"October"
7.18906052304522,"Robin",2022-10-26,"October"
11.1334787402337,"Robin",2022-10-27,"October"
10.4706198422927,"Robin",2022-10-28,"October"
11.2282984460905,"Robin",2023-03-12,"October"
10.8316835698363,"Robin",2023-03-13,"October"
8.10544593114076,"Robin",2023-03-14,"October"
8.54025861703919,"Robin",2023-03-15,"October"
8.87408147057916,"Robin",2023-03-16,"October"
10.1165033053226,"Robin",2023-03-17,"October"
11.7136114189039,"Robin",2023-03-18,"October"
6.59082243584584,"Robin",2023-03-19,"October"
6.17361567025624,"Robin",2023-03-20,"October"
6.66290771327383,"Robin",2023-03-21,"October"
9.09342386798409,"Robin",2023-03-22,"October"
8.39670509704357,"Robin",2023-03-23,"October"
8.88059083304356,"Robin",2023-03-24,"October"
10.373128685382,"Robin",2023-03-25,"October"
12.5228478063309,"Robin",2023-03-26,"October"
9.05668499268613,"Robin",2023-03-27,"October"
10.0967776866562,"Robin",2023-03-28,"October"
12.6358124576289,"Robin",2023-03-29,"October"
9.73433274328302,"Robin",2023-03-30,"October"
11.9071997586756,"Robin",2023-03-31,"October"
10.2240371384019,"Robin",2023-04-01,"October"
12.5915369789508,"Robin",2023-04-02,"October"
13.9133218375943,"Robin",2023-04-03,"October"
10.4924235606775,"Robin",2023-04-04,"October"
9.62617912645733,"Robin",2023-04-05,"October"
10.9768140451072,"Robin",2023-04-06,"October"
14.1196817244218,"Robin",2023-04-07,"October"
9.39809144612489,"Robin",2023-04-08,"October"
9.14178774756626,"Robin",2023-04-09,"October"
8.65105314917399,"Robin",2023-04-10,"October"
12.0161603099437,"Robin",2023-04-11,"October"
12.0612780051465,"Robin",2023-04-12,"October"
11.1821951960202,"Robin",2023-04-13,"October"
12.0955190108484,"Robin",2023-04-14,"October"
9.73786578549629,"Robin",2023-04-15,"October"
11.8396235056401,"Robin",2023-04-16,"October"
12.5147922355785,"Robin",2023-04-17,"October"
4.44174721199668,"Robin",2023-04-18,"October"
7.91641103965872,"Aurora",2022-10-29,"October"
17.2286439449207,"Aurora",2022-10-30,"October"
13.2028940187223,"Aurora",2022-10-31,"October"
12.0968966500554,"Aurora",2022-11-01,"October"
17.3167795851185,"Aurora",2022-11-02,"October"
13.0426071866514,"Aurora",2022-11-03,"October"
17.3473907191084,"Aurora",2022-11-04,"October"
18.0317554857504,"Aurora",2022-11-05,"October"
16.6985308331971,"Aurora",2022-11-06,"October"
23.4832787898448,"Aurora",2022-11-07,"October"
18.1180418923921,"Aurora",2022-11-08,"October"
13.9022956665542,"Aurora",2022-11-09,"October"
9.200251581521,"Aurora",2022-11-10,"October"
8.77431761590361,"Aurora",2022-11-11,"October"
9.82764690195375,"Aurora",2022-11-12,"October"
9.25000613979694,"Aurora",2022-11-13,"October"
12.1578231634567,"Aurora",2022-11-14,"October"
19.9104155173229,"Aurora",2022-11-15,"October"
14.3948941409836,"Aurora",2022-11-16,"October"
18.6227638572765,"Aurora",2022-11-17,"October"
21.7901482149491,"Aurora",2022-11-18,"October"
14.2997169395015,"Aurora",2022-11-19,"October"
16.5577464798616,"Aurora",2022-11-20,"October"
25.3681748681675,"Aurora",2022-11-21,"October"
16.0113266310368,"Aurora",2022-11-22,"October"
16.6838718859024,"Aurora",2022-11-23,"October"
11.5392774284667,"Aurora",2022-11-24,"October"
21.8174947323413,"Aurora",2022-11-25,"October"
19.0739343468187,"Aurora",2022-11-26,"October"
13.1133766911199,"Aurora",2022-11-27,"October"
14.856935574268,"Aurora",2022-11-28,"October"
22.6906588581083,"Aurora",2022-11-29,"October"
14.1599058967541,"Aurora",2022-11-30,"October"
8.99607441370593,"Aurora",2022-12-01,"October"
13.3944738111051,"Aurora",2022-12-02,"October"
14.3759949398406,"Aurora",2022-12-03,"October"
7.74635543030737,"Aurora",2022-12-04,"October"
14.2151426546603,"Aurora",2022-12-05,"October"
11.5421525545644,"Aurora",2022-12-06,"October"
15.4576212276884,"Aurora",2022-12-07,"October"
21.1662608648842,"Aurora",2022-12-08,"October"
14.1867887668224,"Aurora",2022-12-09,"October"
17.6825410113409,"Aurora",2022-12-10,"October"
12.4757785597233,"Aurora",2022-12-11,"October"
10.6549054077339,"Aurora",2022-12-12,"October"
16.0053720876472,"Aurora",2022-12-13,"October"
15.0070369412348,"Aurora",2022-12-14,"October"
21.4416829661756,"Aurora",2022-12-15,"October"
24.0820499856092,"Aurora",2022-12-16,"October"
20.2430026863128,"Aurora",2022-12-17,"October"
18.1048553637549,"Aurora",2022-12-18,"October"
15.8015406381168,"Aurora",2022-12-19,"October"
16.8802469105075,"Aurora",2022-12-20,"October"
10.0853204728845,"Aurora",2022-12-21,"October"
13.1252832598198,"Aurora",2022-12-22,"October"
10.1239529085916,"Aurora",2022-12-23,"October"
13.4633604250987,"Aurora",2022-12-24,"October"
10.6932152317017,"Aurora",2022-12-25,"October"
16.3062153280981,"Aurora",2022-12-26,"October"
10.2194171146034,"Aurora",2022-12-27,"October"
7.36009414887851,"Aurora",2022-12-28,"October"
11.4266309172141,"Aurora",2022-12-29,"October"
9.6911401448864,"Aurora",2022-12-30,"October"
10.3992492296954,"Aurora",2022-12-31,"October"
9.23591153956496,"Aurora",2023-01-01,"October"
9.37609637010783,"Aurora",2023-01-02,"October"
10.6426586600195,"Aurora",2023-01-03,"October"
11.6097256068669,"Aurora",2023-01-04,"October"
12.9968381142502,"Aurora",2023-01-05,"October"
19.5256674969229,"Aurora",2023-01-06,"October"
12.1008770314743,"Aurora",2023-01-07,"October"
9.27835152151267,"Aurora",2023-01-08,"October"
17.9315160879585,"Aurora",2023-01-09,"October"
