"bird","kud90","kud50"
"Aurora",56.5804909179688,9.85315764160156
"Briar",19.9285974853516,1.74650296630859
"Brook",12.0394830810547,2.13086889648438
"Clover",44.9841057983398,7.19033498535156
"Iona",33.5098858032227,4.42806751708984
"Koda",42.7284256713867,8.21688792724609
"Marmalade",45.9562309936523,7.79432772216797
"Nutmeg",13.8934529418945,1.85837358398437
"Prem",43.1704708984375,7.40386494140625
"Robin",15.512813684082,1.56470909423828
"Rove",30.8054778930664,4.20289024658203
"Sage",42.6778739379883,10.4444822998047
"Star",10.9941944335937,2.2277669921875
"Valentine",29.3227263916016,3.36960239257813
"Wobbles",29.0546733398437,8.48777458496094
