"part","term","statistic","(1)","(2)","(3)","(4)","(5)"
"estimates","sqrt(latency)","estimate","0.032","","","",""
"estimates","sqrt(latency)","{std.error}","0.019","","","",""
"estimates","sqrt(latency)","{p.value}","0.095","","","",""
"estimates","alert","estimate","","1.064","","",""
"estimates","alert","{std.error}","","4.171","","",""
"estimates","alert","{p.value}","","0.799","","",""
"estimates","weight","estimate","","","-0.005","","-0.020"
"estimates","weight","{std.error}","","","0.006","","0.010"
"estimates","weight","{p.value}","","","0.395","","0.056"
"estimates","sexM","estimate","","","","-1.355","-51.949"
"estimates","sexM","{std.error}","","","","0.827","24.534"
"estimates","sexM","{p.value}","","","","0.101","0.034"
"estimates","weight × sexM","estimate","","","","","0.068"
"estimates","weight × sexM","{std.error}","","","","","0.032"
"estimates","weight × sexM","{p.value}","","","","","0.032"
"gof","Num.Obs.","","14","14","14","14","14"
"gof","AIC","","36.5","39.2","38.5","36.1","31.2"
"gof","BIC","","37.1","39.8","39.1","36.7","33.1"
"gof","RMSE","","0.75","0.72","0.72","0.74","0.58"
